Comparison,Target,Name,MOA,Phase
Immune system related pathways,ACTB,cytochalasin-B,microtubule inhibitor,Phase 2
Immune system related pathways,ACVR1,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVR1,LDN-212854,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,ACVR1,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,ACVR1,LDN193189,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,ACVR1,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,ACVR1,DMH1,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVRL1,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVRL1,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,AKT2,API-1,AKT inhibitor,Preclinical
Immune system related pathways,AKT2,GSK2110183,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,AT7867,AKT inhibitor,Preclinical
Immune system related pathways,AKT2,MK-2206,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,uprosertib,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,AT13148,protein kinase inhibitor,Phase 1
Immune system related pathways,AKT2,ARQ-092,AKT inhibitor,Phase 1
Immune system related pathways,AKT2,PHT-427,"AKT inhibitor, pyruvate dehydrogenase inhibitor",Preclinical
Immune system related pathways,AKT2,AZD5363,AKT inhibitor,Phase 3
Immune system related pathways,AKT2,GSK690693,AKT inhibitor,Phase 1
Immune system related pathways,AKT2,GDC-0068,AKT inhibitor,Phase 3
Immune system related pathways,ARAF,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,ATF2,ephedrine-(racemic),adrenergic receptor agonist,Launched
Immune system related pathways,B2M,3-indolebutyric-acid,,Preclinical
Immune system related pathways,BIRC2,GDC-0152,XIAP inhibitor,Phase 1
Immune system related pathways,BIRC2,birinapant,XIAP inhibitor,Phase 2
Immune system related pathways,BIRC2,SM-164,XIAP inhibitor,Preclinical
Immune system related pathways,BIRC2,LCL-161,XIAP inhibitor,Phase 2
Immune system related pathways,BIRC2,AZD5582,XIAP inhibitor,Preclinical
Immune system related pathways,BMPR1A,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,BMPR1A,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,BMPR1A,LDN193189,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,BMPR1B,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,BTK,GDC-0834,Bruton's tyrosine kinase (BTK) inhibitor,Phase 1
Immune system related pathways,BTK,terreic-acid-(-),Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitor,Launched
Immune system related pathways,BTK,AVL-292,Bruton's tyrosine kinase (BTK) inhibitor,Phase 2
Immune system related pathways,BTK,ONO-4059,Bruton's tyrosine kinase (BTK) inhibitor,Phase 1
Immune system related pathways,BTK,CNX-774,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,olmutinib,"Bruton's tyrosine kinase (BTK) inhibitor, EGFR inhibitor",Launched
Immune system related pathways,BTK,PCI-29732,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,ibrutinib,Bruton's tyrosine kinase (BTK) inhibitor,Launched
Immune system related pathways,BTK,LFM-A13,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,CACNA1H,anandamide,cannabinoid receptor agonist,Phase 2
Immune system related pathways,CACNA1H,ethosuximide,succinimide antiepileptic,Launched
Immune system related pathways,CACNA1H,amiodarone,potassium channel blocker,Launched
Immune system related pathways,CACNA1H,flunarizine,calcium channel blocker,Launched
Immune system related pathways,CACNA1H,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CACNA1H,trimethadione,oxazolidine antiepileptic,Launched
Immune system related pathways,CACNA1H,ABT-639,calcium channel blocker,Phase 2
Immune system related pathways,CACNA1H,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA1H,ML218,T-type calcium channel blocker,Preclinical
Immune system related pathways,CACNA1H,methsuximide,T-type calcium channel blocker,Launched
Immune system related pathways,CACNA1H,zonisamide,"sodium channel blocker, T-type calcium channel blocker",Launched
Immune system related pathways,CACNA1H,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,amlodipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,Z160,N-type calcium channel blocker,Phase 2
Immune system related pathways,CACNA2D1,diltiazem,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA2D1,lercanidipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,isradipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,nitrendipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNA2D3,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA2D3,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNB2,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNB2,dronedarone,adrenergic receptor antagonist,Launched
Immune system related pathways,CACNB2,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNB2,verapamil,calcium channel blocker,Launched
Immune system related pathways,CACNB2,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CASP8,aloe-emodin,anticancer agent,Preclinical
Immune system related pathways,CCL8,pidolic-acid,,Launched
Immune system related pathways,CCL8,bindarit,NFkB pathway inhibitor,Phase 2
Immune system related pathways,CDH5,fosbretabulin,"tubulin polymerization inhibitor, VE-cadherin antagonist",Phase 3
Immune system related pathways,CREB1,naloxone,opioid receptor antagonist,Launched
Immune system related pathways,CREB1,adenosine-phosphate,adenosine receptor agonist,Launched
Immune system related pathways,CSF1,axitinib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,CSF1,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,CSF1R,pexidartinib,tyrosine kinase inhibitor,Launched
Immune system related pathways,CSF1R,KI-20227,c-Fms inhibitor,Preclinical
Immune system related pathways,CSF1R,imatinib,"Bcr-Abl kinase inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor",Launched
Immune system related pathways,CSF1R,sunitinib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,CSF1R,AC-710,PDGFR tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,CSF1R,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,CSF1R,cediranib,"KIT inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,CSF1R,quizartinib,FLT3 inhibitor,Phase 3
Immune system related pathways,CSF1R,crenolanib,PDGFR tyrosine kinase receptor inhibitor,Phase 3
Immune system related pathways,CSF1R,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,CSF1R,PLX647,receptor tyrosine protein kinase inhibitor,Preclinical
Immune system related pathways,CSF1R,pazopanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,CSF1R,GTP-14564,"FLT3 inhibitor, tyrosine kinase inhibitor",Preclinical
Immune system related pathways,CSF1R,GW-2580,cFMS kinase inhibitor,Preclinical
Immune system related pathways,CSF1R,tandutinib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor",Phase 2
Immune system related pathways,CTSB,loxistatin-acid,cysteine peptidase inhibitor,Preclinical
Immune system related pathways,CTSB,cathepsin-inhibitor-1,cathepsin inhibitor,Preclinical
Immune system related pathways,CTSB,pepstatin,aspartic protease inhibitor,Preclinical
Immune system related pathways,CTSB,VBY-825,cathepsin inhibitor,Preclinical
Immune system related pathways,CTSK,odanacatib,cathepsin inhibitor,Phase 3
Immune system related pathways,CTSK,boceprevir,HCV inhibitor,Launched
Immune system related pathways,CTSK,balicatib,cathepsin inhibitor,Phase 2
Immune system related pathways,CYBA,dextromethorphan,"glutamate receptor antagonist, sigma receptor agonist",Launched
Immune system related pathways,DNM1L,dynasore,dynamin inhibitor,Preclinical
Immune system related pathways,FLT1,pazopanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,sunitinib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,lucitanib,"FGFR inhibitor, VEGFR inhibitor",Phase 2
Immune system related pathways,FLT1,cediranib,"KIT inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,tivozanib,VEGFR inhibitor,Launched
Immune system related pathways,FLT1,vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,FLT1,PD-173074,"FGFR inhibitor, VEGFR inhibitor",Preclinical
Immune system related pathways,FLT1,sorafenib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,ZM-306416,"Abl kinase inhibitor, SRC inhibitor, VEGFR inhibitor",Preclinical
Immune system related pathways,FLT1,toceranib,protein tyrosine kinase inhibitor,Launched
Immune system related pathways,FLT1,axitinib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,brivanib,"FGFR inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,nintedanib,"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT1,vatalanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,motesanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,TG-100801,"SRC inhibitor, VEGFR inhibitor",Phase 2
Immune system related pathways,FLT1,KRN-633,VEGFR inhibitor,Preclinical
Immune system related pathways,FLT1,OSI-930,"KIT inhibitor, VEGFR inhibitor",Phase 1
Immune system related pathways,FLT1,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT1,semaxanib,VEGFR inhibitor,Phase 3
Immune system related pathways,FLT1,foretinib,VEGFR inhibitor,Phase 2
Immune system related pathways,FLT4,regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,nintedanib,"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,tivozanib,VEGFR inhibitor,Launched
Immune system related pathways,FLT4,cediranib,"KIT inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,vatalanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,sunitinib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,PD-173074,"FGFR inhibitor, VEGFR inhibitor",Preclinical
Immune system related pathways,FLT4,XL647,"EGFR inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,lenvatinib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,motesanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Phase 3
Immune system related pathways,FLT4,ZM-306416,"Abl kinase inhibitor, SRC inhibitor, VEGFR inhibitor",Preclinical
Immune system related pathways,FLT4,axitinib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,pazopanib,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,sorafenib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",Launched
Immune system related pathways,FLT4,KRN-633,VEGFR inhibitor,Preclinical
Immune system related pathways,FLT4,foretinib,VEGFR inhibitor,Phase 2
Immune system related pathways,FLT4,SAR131675,VEGFR inhibitor,Preclinical
Immune system related pathways,FLT4,TG-100801,"SRC inhibitor, VEGFR inhibitor",Phase 2
Immune system related pathways,FOS,ephedrine-(racemic),adrenergic receptor agonist,Launched
Immune system related pathways,GHR,ibutamoren,growth hormone secretagogue receptor agonist,Phase 2
Immune system related pathways,HSPA1A,VER-155008,HSP inhibitor,Preclinical
Immune system related pathways,HSPA1A,elesclomol,oxidative stress inducer,Phase 3
Immune system related pathways,HSPA1A,pifithrin-mu,HSP inhibitor,Preclinical
Immune system related pathways,HSPA1A,bicyclol,NFkB pathway inhibitor,Launched
Immune system related pathways,ICAM1,hyaluronic-acid,,Launched
Immune system related pathways,ICAM1,polydatin,ICAM1 expression inhibitor,Phase 2
Immune system related pathways,ICAM1,BMS-688521,"ICAM1 antagonist, leukocyte function-associated antigen receptor antagonist",Preclinical
Immune system related pathways,ICAM1,BIRT-377,lymphocyte function-associated antigen negative modulator,Preclinical
Immune system related pathways,ICAM1,RWJ-50271,integrin inhibitor,Preclinical
Immune system related pathways,ICAM1,A205804,ICAM1 expression inhibitor,Preclinical
Immune system related pathways,IL12A,STA-5326,interleukin synthesis inhibitor,Phase 2
Immune system related pathways,IL12A,APY0201,phosphoinositide dependent kinase inhibitor,Preclinical
Immune system related pathways,INPP5D,AS-1949490,SHIP2 phosphatase inhibitor,Preclinical
Immune system related pathways,IRAK4,AS-2444697,interleukin inhibitor,Preclinical
Immune system related pathways,ITGB1,TCS-2314,integrin inhibitor,Preclinical
Immune system related pathways,ITGB1,BIO-1211,integrin antagonist,Phase 2
Immune system related pathways,ITGB1,BIO-5192,integrin inhibitor,Preclinical
Immune system related pathways,ITGB1,TC-I-15,integrin inhibitor,Preclinical
Immune system related pathways,ITGB1,BTT-3033,integrin inhibitor,Preclinical
Immune system related pathways,ITGB1,SB-683698,integrin antagonist,Phase 1
Immune system related pathways,ITGB1,ATN-161,integrin antagonist,Phase 2
Immune system related pathways,JAK1,ZM-39923,JAK inhibitor,Preclinical
Immune system related pathways,JAK1,AZD1480,JAK inhibitor,Phase 1
Immune system related pathways,JAK1,cyt387,JAK inhibitor,Phase 3
Immune system related pathways,JAK1,peficitinib,JAK inhibitor,Launched
Immune system related pathways,JAK1,solcitinib,JAK inhibitor,Phase 1
Immune system related pathways,JAK1,fedratinib,"FLT3 inhibitor, JAK inhibitor",Launched
Immune system related pathways,JAK1,tofacitinib,JAK inhibitor,Launched
Immune system related pathways,JAK1,curcumol,JAK inhibitor,Phase 1
Immune system related pathways,JAK1,pacritinib,"FLT3 inhibitor, JAK inhibitor",Phase 3
Immune system related pathways,JAK1,ruxolitinib,JAK inhibitor,Launched
Immune system related pathways,JAK1,WHI-P154,JAK inhibitor,Preclinical
Immune system related pathways,JAK1,baricitinib,JAK inhibitor,Launched
Immune system related pathways,JAK1,filgotinib,JAK inhibitor,Phase 3
Immune system related pathways,JAK1,itacitinib,JAK inhibitor,Phase 3
Immune system related pathways,JAK1,ruxolitinib-(S),JAK inhibitor,Preclinical
Immune system related pathways,JAK1,XL019,JAK inhibitor,Phase 1
Immune system related pathways,JAK2,CKD-712,NFkB pathway inhibitor,Phase 1
Immune system related pathways,JAK2,filgotinib,JAK inhibitor,Phase 3
Immune system related pathways,JAK2,WHI-P154,JAK inhibitor,Preclinical
Immune system related pathways,JAK2,peficitinib,JAK inhibitor,Launched
Immune system related pathways,JAK2,AG-490,"EGFR inhibitor, JAK inhibitor",Preclinical
Immune system related pathways,JAK2,NVP-BSK805,JAK inhibitor,Preclinical
Immune system related pathways,JAK2,RGB-286638,CDK inhibitor,Phase 1
Immune system related pathways,JAK2,"1,2,3,4,5,6-hexabromocyclohexane",JAK inhibitor,Preclinical
Immune system related pathways,JAK2,atiprimod,"JAK inhibitor, STAT inhibitor",Phase 2
Immune system related pathways,JAK2,fedratinib,"FLT3 inhibitor, JAK inhibitor",Launched
Immune system related pathways,JAK2,AZD1480,JAK inhibitor,Phase 1
Immune system related pathways,JAK2,thiram,,Launched
Immune system related pathways,JAK2,AT-9283,"Aurora kinase inhibitor, JAK inhibitor",Phase 2
Immune system related pathways,JAK2,TG-101209,JAK inhibitor,Preclinical
Immune system related pathways,JAK2,cyt387,JAK inhibitor,Phase 3
Immune system related pathways,JAK2,baricitinib,JAK inhibitor,Launched
Immune system related pathways,JAK2,pacritinib,"FLT3 inhibitor, JAK inhibitor",Phase 3
Immune system related pathways,JAK2,AZ960,JAK inhibitor,Preclinical
Immune system related pathways,JAK2,ruxolitinib,JAK inhibitor,Launched
Immune system related pathways,JAK2,LY2784544,JAK inhibitor,Phase 2
Immune system related pathways,JAK2,tofacitinib,JAK inhibitor,Launched
Immune system related pathways,JAK2,curcumol,JAK inhibitor,Phase 1
Immune system related pathways,JAK2,XL019,JAK inhibitor,Phase 1
Immune system related pathways,JAK2,CEP-33779,JAK inhibitor,Preclinical
Immune system related pathways,JAK2,WP1130,deubiquitinase inhibitor,Preclinical
Immune system related pathways,JAK2,ruxolitinib-(S),JAK inhibitor,Preclinical
Immune system related pathways,JAK3,TCS-21311,JAK inhibitor,Preclinical
Immune system related pathways,JAK3,filgotinib,JAK inhibitor,Phase 3
Immune system related pathways,JAK3,pacritinib,"FLT3 inhibitor, JAK inhibitor",Phase 3
Immune system related pathways,JAK3,peficitinib,JAK inhibitor,Launched
Immune system related pathways,JAK3,ZM-39923,JAK inhibitor,Preclinical
Immune system related pathways,JAK3,LY2784544,JAK inhibitor,Phase 2
Immune system related pathways,JAK3,fedratinib,"FLT3 inhibitor, JAK inhibitor",Launched
Immune system related pathways,JAK3,TG-101209,JAK inhibitor,Preclinical
Immune system related pathways,JAK3,JAK3-inhibitor-V,JAK inhibitor,Preclinical
Immune system related pathways,JAK3,AZD1480,JAK inhibitor,Phase 1
Immune system related pathways,JAK3,ruxolitinib,JAK inhibitor,Launched
Immune system related pathways,JAK3,AG-490,"EGFR inhibitor, JAK inhibitor",Preclinical
Immune system related pathways,JAK3,WHI-P154,JAK inhibitor,Preclinical
Immune system related pathways,JAK3,curcumol,JAK inhibitor,Phase 1
Immune system related pathways,JAK3,AT-9283,"Aurora kinase inhibitor, JAK inhibitor",Phase 2
Immune system related pathways,JAK3,tofacitinib,JAK inhibitor,Launched
Immune system related pathways,JAK3,cyt387,JAK inhibitor,Phase 3
Immune system related pathways,JAK3,XL019,JAK inhibitor,Phase 1
Immune system related pathways,JUN,ephedrine-(racemic),adrenergic receptor agonist,Launched
Immune system related pathways,JUN,TWS-119,glycogen synthase kinase inhibitor,Preclinical
Immune system related pathways,JUN,vinblastine,"microtubule inhibitor, tubulin polymerization inhibitor",Launched
Immune system related pathways,JUN,irbesartan,angiotensin receptor antagonist,Launched
Immune system related pathways,JUN,T-5224,AP inhibitor,Phase 2
Immune system related pathways,JUN,arsenic-trioxide,apoptosis stimulant,Launched
Immune system related pathways,JUN,SP-100030,NFkB pathway inhibitor,Preclinical
Immune system related pathways,MALT1,mepazine,MALT1 inhibitor (JH),Phase 2
Immune system related pathways,MAP3K1,PD-184352,MEK inhibitor,Phase 2
Immune system related pathways,MAP3K1,AZD8330,MEK inhibitor,Phase 1
Immune system related pathways,MAP3K6,TC-ASK-10,MAP kinase inhibitor,Preclinical
Immune system related pathways,MAPK11,EO-1428,p38 MAPK inhibitor,Preclinical
Immune system related pathways,MAPK11,VX-702,p38 MAPK inhibitor,Phase 2
Immune system related pathways,MAPK11,doramapimod,p38 MAPK inhibitor,Phase 2
Immune system related pathways,MAPK11,U-0126,MEK inhibitor,Preclinical
Immune system related pathways,MAPK11,SB-239063,p38 MAPK inhibitor,Preclinical
Immune system related pathways,MAPK11,talmapimod,p38 MAPK inhibitor,Phase 2
Immune system related pathways,MAPK11,SB-203580,p38 MAPK inhibitor,Preclinical
Immune system related pathways,MAPK11,SB-202190,p38 MAPK inhibitor,Preclinical
